"","ID","Magnitude","Magnitude Type"
"2537","ISCGEM771324","5.9","MW"
"2538","ISCGEM771389","5.6","MW"
"2539","ISCGEM771410","5.9","MW"
"2540","ISCGEM771416","5.6","MW"
"2541","ISCGEM771492","5.6","MW"
"2542","ISCGEM771602","5.6","MW"
"2543","ISCGEM771609","5.8","MW"
"2544","ISCGEM771618","6","MW"
"2545","ISCGEMSUP771756","5.7","MW"
"2546","ISCGEM771798","5.9","MW"
"2547","ISCGEM771830","6.5","MW"
"2548","ISCGEM771868","5.7","MW"
"2549","ISCGEM772000","6.2","MW"
"2550","ISCGEM772027","5.5","MW"
"2551","ISCGEM772048","6","MW"
"2552","ISCGEM772054","6","MW"
"2553","ISCGEM772060","7.6","MW"
"2554","ISCGEMSUP772067","5.9","MW"
"2555","ISCGEM772073","5.9","MW"
"2556","ISCGEM772093","5.9","MW"
"2557","ISCGEM770115","5.6","MW"
"2558","ISCGEMSUP770124","6.3","MW"
"2559","ISCGEM770161","5.5","MW"
"2560","ISCGEM770163","6.1","MW"
"2561","ISCGEM770175","6.4","MW"
"2562","ISCGEM770183","5.6","MW"
"2563","ISCGEM770184","5.6","MW"
"2564","ISCGEM770229","5.9","MW"
"2565","ISCGEM770242","6.6","MW"
"2566","ISCGEM770248","6.1","MW"
"2567","ISCGEM770253","6.1","MW"
"2568","ISCGEM770273","6","MW"
"2569","ISCGEM770300","5.7","MW"
"2570","ISCGEM770308","6.3","MW"
"2571","ISCGEM770325","5.7","MW"
"2572","ISCGEM770351","6.1","MW"
"2573","ISCGEM770356","5.6","MW"
"2574","ISCGEM770453","5.6","MW"
"2575","ISCGEM770502","5.9","MW"
"2576","ISCGEM770510","5.9","MW"
"2577","ISCGEMSUP770547","5.8","MW"
"2578","ISCGEM770574","5.6","MW"
"2579","ISCGEM770580","5.6","MW"
"2580","ISCGEM770594","5.8","MW"
"2581","ISCGEM770672","7.5","MW"
"2582","ISCGEM770674","6.1","MW"
"2583","ISCGEM770751","5.7","MW"
"2584","ISCGEM770755","5.6","MW"
"2585","ISCGEM770771","6.2","MW"
"2586","ISCGEM770773","5.8","MW"
"2587","ISCGEMSUP770845","5.7","MW"
"2588","ISCGEM770851","5.7","MW"
"2589","ISCGEM771020","5.7","MW"
"2590","ISCGEM771047","5.6","MW"
"2591","ISCGEM771053","6.1","MW"
"2592","ISCGEM771069","5.7","MW"
"2593","ISCGEM771107","6.5","MW"
"2594","ISCGEM771120","5.5","MW"
"2595","ISCGEM771137","5.8","MW"
"2596","ISCGEM771140","5.5","MW"
"2597","ISCGEM768900","6","MW"
"2598","ISCGEM768911","6.2","MW"
"2599","ISCGEM768956","6.2","MW"
"2600","ISCGEM768987","6.2","MW"
"2601","ISCGEM769003","5.8","MW"
"2602","ISCGEM769036","6","MW"
"2603","ISCGEMSUP769047","6.5","MW"
"2604","ISCGEM769065","5.5","MW"
"2605","ISCGEM769082","5.9","MW"
"2606","ISCGEM769103","6.3","MW"
"2607","ISCGEM769104","6.3","MW"
"2608","ISCGEM769158","5.6","MW"
"2609","ISCGEM769181","5.8","MW"
"2610","ISCGEM769197","5.8","MW"
"2611","ISCGEM769213","6","MW"
"2612","ISCGEM769237","6.2","MW"
"2613","ISCGEM769262","6.3","MW"
"2614","ISCGEM769303","5.6","MW"
"2615","ISCGEM769305","5.7","MW"
"2616","ISCGEM769309","6.1","MW"
"2617","ISCGEMSUP769354","6.1","MW"
"2618","ISCGEM769369","6.4","MW"
"2619","ISCGEM769371","5.7","MW"
"2620","ISCGEM769392","5.6","MW"
"2621","ISCGEM769420","5.8","MW"
"2622","ISCGEM769443","6","MW"
"2623","ISCGEM769447","5.7","MW"
"2624","ISCGEM769451","5.6","MW"
"2625","ISCGEM769484","6.5","MW"
"2626","ISCGEM769503","5.6","MW"
"2627","ISCGEM769592","5.6","MW"
"2628","ISCGEM769608","6.1","MW"
"2629","ISCGEM769642","5.8","MW"
"2630","ISCGEM769647","5.5","MW"
"2631","ISCGEM769692","5.5","MW"
"2632","ISCGEM769749","5.7","MW"
"2633","ISCGEM769763","5.6","MW"
"2634","ISCGEM769766","6.3","MW"
"2635","ISCGEM769785","6.4","MW"
"2636","ISCGEM769882","6.8","MW"
"2637","ISCGEM769886","5.5","MW"
"2638","ISCGEM769955","6","MW"
"2639","ISCGEM769977","6.2","MW"
"2640","ISCGEM770048","5.9","MW"
"2641","ISCGEM767932","5.9","MW"
"2642","ISCGEM767972","5.5","MW"
"2643","ISCGEM767995","5.5","MW"
"2644","ISCGEM768118","6.3","MW"
"2645","ISCGEM768140","5.7","MW"
"2646","ISCGEM768245","5.7","MW"
"2647","ISCGEM768277","5.5","MW"
"2648","ISCGEM768303","5.5","MW"
"2649","ISCGEM768305","6.1","MW"
"2650","ISCGEM768318","5.9","MW"
"2651","ISCGEM768339","5.6","MW"
"2652","ISCGEM768375","5.9","MW"
"2653","ISCGEM768376","5.5","MW"
"2654","ISCGEMSUP768390","6","MW"
"2655","ISCGEM768467","5.9","MW"
"2656","ISCGEM768494","5.9","MW"
"2657","ISCGEM768533","6","MW"
"2658","ISCGEM768538","6.7","MW"
"2659","ISCGEM768580","5.5","MW"
"2660","ISCGEM768644","5.6","MW"
"2661","ISCGEM768683","5.6","MW"
"2662","ISCGEM768710","5.6","MW"
"2663","ISCGEM768719","5.5","MW"
"2664","ISCGEM768732","6.3","MW"
"2665","ISCGEM768753","5.7","MW"
"2666","ISCGEM768757","6.3","MW"
"2667","ISCGEM768758","5.9","MW"
"2668","ISCGEM768802","5.5","MW"
"2669","ISCGEM768851","6.3","MW"
"2670","ISCGEM766897","5.5","MW"
"2671","ISCGEM766918","5.8","MW"
"2672","ISCGEM766936","7","MW"
"2673","ISCGEM766971","5.5","MW"
"2674","ISCGEM766972","5.5","MW"
"2675","ISCGEM766980","6.4","MW"
"2676","ISCGEM766990","5.8","MW"
"2677","ISCGEMSUP767015","6","MW"
"2678","ISCGEM767020","6.1","MW"
"2679","ISCGEM767054","5.8","MW"
"2680","ISCGEM767086","5.6","MW"
"2681","ISCGEM767125","5.6","MW"
"2682","ISCGEMSUP767151","5.9","MW"
"2683","ISCGEM767161","5.8","MW"
"2684","ISCGEM767168","6.1","MW"
"2685","ISCGEM767196","5.9","MW"
"2686","ISCGEM767268","5.6","MW"
"2687","ISCGEM767290","6.2","MW"
"2688","ISCGEM767301","6.6","MW"
"2689","ISCGEM767307","5.8","MW"
"2690","ISCGEM767401","5.9","MW"
"2691","ISCGEM767428","5.9","MW"
"2692","ISCGEM767495","5.7","MW"
"2693","ISCGEM767511","5.7","MW"
"2694","ISCGEM767527","5.5","MW"
"2695","ISCGEM767545","5.8","MW"
"2696","ISCGEM767568","5.7","MW"
"2697","ISCGEM767595","5.9","MW"
"2698","ISCGEM767601","5.6","MW"
"2699","ISCGEM767716","5.7","MW"
"2700","ISCGEMSUP767728","5.7","MW"
"2701","ISCGEM767748","5.7","MW"
"2702","ISCGEM767767","5.8","MW"
"2703","ISCGEM767772","5.6","MW"
"2704","ISCGEM767788","6.3","MW"
"2705","ISCGEM765494","5.8","MW"
"2706","ISCGEM765501","8","MW"
"2707","ISCGEM765504","5.7","MW"
"2708","ISCGEM765515","6","MW"
"2709","ISCGEM765522","6.1","MW"
"2710","ISCGEM765534","5.6","MW"
"2711","ISCGEM765596","5.9","MW"
"2712","ISCGEM765618","7.4","MW"
"2713","ISCGEM765638","5.6","MW"
"2714","ISCGEM765650","6","MW"
"2715","ISCGEM765674","5.7","MW"
"2716","ISCGEM765720","5.9","MW"
"2717","ISCGEM765733","5.9","MW"
"2718","ISCGEM765745","5.8","MW"
"2719","ISCGEM765803","6","MW"
"2720","ISCGEM765813","5.6","MW"
"2721","ISCGEM765843","5.8","MW"
"2722","ISCGEM765851","5.6","MW"
"2723","ISCGEM765872","6.1","MW"
"2724","ISCGEMSUP765877","5.5","MW"
"2725","ISCGEM765878","5.9","MW"
"2726","ISCGEM765901","6.2","MW"
"2727","ISCGEM765962","6.1","MW"
"2728","ISCGEM766059","5.8","MW"
"2729","ISCGEM766065","5.8","MW"
"2730","ISCGEM766079","5.7","MW"
"2731","ISCGEM766165","5.5","MW"
"2732","ISCGEM766217","5.9","MW"
"2733","ISCGEM766233","6.4","MW"
"2734","ISCGEM766282","5.7","MW"
"2735","ISCGEM766294","5.6","MW"
"2736","ISCGEM766314","5.6","MW"
"2737","ISCGEM766341","5.9","MW"
"2738","ISCGEM766360","5.8","MW"
"2739","ISCGEM766448","5.5","MW"
"2740","ISCGEM766534","6.5","MW"
"2741","ISCGEM766541","6","MW"
"2742","ISCGEM766571","6.3","MW"
"2743","ISCGEM766644","5.8","MW"
"2744","ISCGEM766673","5.7","MW"
"2745","ISCGEM766720","5.5","MW"
"2746","ISCGEM766756","6","MW"
"2747","ISCGEM766762","6","MW"
"2748","ISCGEM766778","5.6","MW"
"2749","ISCGEMSUP766781","5.7","MW"
"2750","ISCGEM766799","6.1","MW"
"2751","USP0000004","6","MS"
"2752","USP0000008","5.5","MB"
"2753","USP000000M","5.6","MB"
"2754","USP000000Q","5.5","MB"
"2755","USP000001H","6.2","MB"
"2756","USP0000022","6.1","MB"
"2757","USP000003E","5.8","MS"
"2758","USP000003F","5.9","MS"
"2759","USP0000041","5.7","MS"
"2760","USP0000042","5.7","MB"
"2761","USP0000058","5.8","MB"
"2762","USP000005S","5.5","MB"
"2763","USP0000067","5.7","MB"
"2764","USP000006K","6.8","MS"
"2765","USP000007K","5.6","MS"
"2766","USP000008B","5.5","MB"
"2767","USP000008D","6.1","MS"
"2768","USP000008W","5.8","MB"
"2769","USP00000A3","5.6","MB"
"2770","USP00000AA","6","MB"
"2771","USP00000AP","5.7","MB"
"2772","USP00000BF","7.5","MS"
"2773","USP00000BP","6","MB"
"2774","USP00000BW","6.1","MB"
"2775","USP00000C9","5.6","MB"
"2776","USP00000DW","5.7","MB"
"2777","USP00000DZ","7.4","MS"
"2778","USP00000EG","5.7","MB"
"2779","USP00000EP","5.8","MB"
"2780","USP00000EZ","6.1","MS"
"2781","USP00000G0","5.6","MS"
"2782","USP00000G3","5.5","MB"
"2783","USP00000GX","5.5","MB"
"2784","USP00000GY","5.5","MB"
"2785","USP00000H2","5.9","MB"
"2786","USP00000HC","5.9","MB"
"2787","USP00000HG","5.7","MS"
"2788","USP00000HH","6.3","MS"
"2789","USP00000JB","5.8","MB"
"2790","USP00000JN","5.5","MB"
"2791","USP00000JP","5.5","MB"
"2792","USP00000JT","5.5","MB"
"2793","USP00000JU","5.6","MB"
"2794","USP00000K5","5.7","MS"
"2795","USP00000KC","5.6","MS"
"2796","USP00000M0","5.7","MB"
"2797","USP00000M3","5.5","MB"
"2798","USP00000NS","5.7","MB"
"2799","USP00000PC","6","MB"
"2800","USP00000PY","6.4","MB"
"2801","USP00000Q5","5.9","MS"
"2802","USP00000RX","7.2","MS"
"2803","USP00000S0","5.5","MB"
"2804","USP00000SG","5.5","MB"
"2805","USP00000SJ","5.5","MB"
"2806","USP00000T9","5.5","MB"
"2807","USP00000TD","5.5","MB"
"2808","USP00000TU","6.1","MB"
"2809","USP00000V3","5.6","MB"
"2810","USP00000VJ","5.6","MS"
"2811","USP00000VX","6","MB"
"2812","USP00000W5","5.5","MB"
"2813","USP00000WH","5.6","MB"
"2814","USP00000X3","5.5","MB"
"2815","USP00000XG","5.7","MB"
"2816","USP00000XH","5.5","MB"
"2817","USP00000XW","6.1","MB"
"2818","USP00000XZ","5.5","MB"
"2819","USP00000Y8","5.8","MS"
"2820","USP00000YC","5.8","MB"
"2821","USP00000YR","6.3","MS"
"2822","USP00000YV","5.5","MB"
"2823","USP00000YX","5.6","MB"
"2824","USP00000Z5","6","MB"
"2825","USP00000Z7","7","MS"
"2826","USP00000Z9","5.7","MB"
"2827","USP00000ZJ","6.5","MS"
"2828","USP00000ZV","5.5","MB"
"2829","USP00000ZY","5.8","MB"
"2830","USP000010A","5.6","MB"
"2831","USP000010D","5.7","MB"
"2832","USP000011C","5.5","MB"
"2833","USP000011E","5.9","MS"
"2834","USP000011P","5.9","MB"
"2835","USP000011S","5.6","MB"
"2836","USP000011U","5.6","MS"
"2837","USP000012S","5.7","MB"
"2838","USP000012T","5.5","MS"
"2839","USP000012Y","6","MS"
"2840","USP0000139","5.7","MB"
"2841","USP000013X","5.6","MB"
"2842","USP000014R","5.5","MB"
"2843","USP000014V","6","MS"
"2844","USP000015K","5.5","MS"
"2845","USP0000168","5.9","MS"
"2846","USP0000176","6.2","MB"
"2847","USP000018M","5.6","MS"
"2848","USP000018Z","5.8","MS"
"2849","USP000019P","6.6","MS"
"2850","USP000019Y","6.7","MS"
"2851","USP00001A8","5.6","MB"
"2852","USP00001AG","6.4","MS"
"2853","USP00001AJ","5.5","MB"
"2854","USP00001AK","5.6","MB"
"2855","USP00001BE","5.8","MB"
"2856","USP00001BV","5.6","MB"
"2857","USP00001CH","6.1","MB"
"2858","USP00001D9","6.5","MS"
"2859","USP00001DP","5.5","MB"
"2860","USP00001E4","5.5","MB"
"2861","USP00001EB","6.4","MS"
"2862","USP00001EG","5.6","MB"
"2863","USP00001GU","5.5","MB"
"2864","USP00001HT","5.5","MB"
"2865","USP00001HV","5.5","MB"
"2866","USP00001HW","6.5","MS"
"2867","USP00001J8","5.7","MB"
"2868","USP00001JJ","5.7","MB"
"2869","USP00001JY","6","MB"
"2870","USP00001KH","6.1","MS"
"2871","USP00001MA","5.5","MB"
"2872","USP00001MY","5.5","MB"
"2873","USP00001NX","5.9","MB"
"2874","USP00001P3","5.6","MB"
"2875","USP00001PW","5.5","MS"
"2876","USP00001Q2","5.9","MB"
"2877","USP00001Q8","5.9","MB"
"2878","USP00001QP","5.5","MS"
"2879","USP00001ST","5.5","MB"
"2880","USP00001T2","5.6","MB"
"2881","USP00001T4","5.9","MS"
"2882","USP00001TU","5.5","MB"
"2883","USP00001TX","5.8","MB"
"2884","USP00001UG","5.7","MB"
"2885","USP00001US","5.5","MB"
"2886","USP00001UT","5.5","MB"
"2887","USP00001V6","5.8","MB"
"2888","USP00001WE","5.5","MB"
"2889","USP00001XW","5.8","MB"
"2890","USP00001YP","5.9","MS"
"2891","USP00001YR","5.7","MS"
"2892","USP00001YV","6","MB"
"2893","USP00001Z7","5.7","MB"
"2894","USP00001ZX","5.9","MB"
"2895","USP0000200","6.3","MS"
"2896","USP000020B","5.8","MB"
"2897","USP0000215","6.1","MS"
"2898","USP000022B","5.8","MB"
"2899","USP000022K","5.5","MB"
"2900","USP000022M","5.7","MB"
"2901","USP000022T","5.5","MS"
"2902","USP000023T","6.3","MB"
"2903","USP000024Q","6","MS"
"2904","USP000025A","5.5","MB"
"2905","USP000025C","5.5","MB"
"2906","USP000025E","5.5","MB"
"2907","USP000025F","5.7","MB"
"2908","USP000025P","5.8","MB"
"2909","USP000025Q","5.6","MB"
"2910","USP0000260","5.9","MS"
"2911","USP0000263","5.8","MB"
"2912","USP0000268","5.5","MB"
"2913","USP000026A","5.6","MB"
"2914","USP000026K","5.6","MB"
"2915","USP0000270","7.7","MS"
"2916","USP0000271","5.9","MB"
"2917","USP000027S","5.5","MB"
"2918","USP000027T","5.5","MB"
"2919","USP000027W","5.6","MB"
"2920","USP000027X","5.5","MB"
"2921","USP0000282","5.7","MB"
"2922","USP0000283","5.6","MB"
"2923","USP0000284","6","MS"
"2924","USP000028K","5.7","MS"
"2925","USP000028V","5.8","MB"
"2926","USP0000293","5.6","MB"
"2927","USP0000294","5.8","MS"
"2928","USP00002A1","5.6","MS"
"2929","USP00002AZ","5.5","MB"
"2930","USP00002B7","5.5","MB"
"2931","USP00002BB","5.5","MB"
"2932","USP00002BE","5.5","MB"
"2933","USP00002BV","7.1","MS"
"2934","USP00002BW","5.8","MB"
"2935","USP00002BX","5.5","MB"
"2936","USP00002C2","5.8","MB"
"2937","USP00002CG","5.5","MB"
"2938","USP00002CX","5.7","MB"
"2939","USP00002D3","5.7","MB"
"2940","USP00002DT","5.8","MS"
"2941","USP00002DX","6.6","MS"
"2942","USP00002DY","5.5","MB"
"2943","USP00002EU","5.5","MB"
"2944","USP00002FA","5.7","MB"
"2945","USP00002FB","5.9","MB"
"2946","USP00002G9","6.7","MS"
"2947","USP00002GY","5.6","MB"
"2948","USP00002H0","6","MS"
"2949","USP00002H1","6.5","MS"
"2950","USP00002HE","6","MS"
"2951","USP00002J5","5.8","MS"
"2952","USP00002J6","5.5","MB"
"2953","USP00002JV","6","MS"
"2954","USP00002K3","5.6","MS"
"2955","USP00002KG","5.6","MB"
"2956","USP00002MB","5.7","MB"
"2957","USP00002N2","5.7","MB"
"2958","USP00002NQ","5.5","MB"
"2959","USP00002PB","5.7","MB"
"2960","USP00002PD","5.5","MB"
"2961","USP00002Q7","6.9","MS"
"2962","USP00002QG","5.9","MB"
"2963","USP00002QZ","5.5","MB"
"2964","USP00002R5","5.7","MS"
"2965","USP00002RP","5.7","MB"
"2966","USP00002RX","5.8","MB"
"2967","USP00002S2","5.5","MB"
"2968","USP00002S6","5.5","MB"
"2969","USP00002SB","5.8","MB"
"2970","USP00002SR","5.9","MB"
"2971","USP00002UK","5.6","MB"
"2972","USP00002UQ","5.5","MB"
"2973","USP00002V9","5.6","MB"
"2974","USP00002VY","5.5","MB"
"2975","USP00002W1","5.6","MS"
"2976","USP00002WG","5.6","MS"
"2977","USP00002WP","5.5","MB"
"2978","USP00002WT","5.7","MB"
"2979","USP00002X3","5.5","MB"
"2980","USP00002XP","5.5","MS"
"2981","USP00002XR","6.3","MS"
"2982","USP00002Y0","6","MS"
"2983","USP00002Y4","6.1","MB"
"2984","USP00002YD","5.7","MB"
"2985","USP00002ZV","5.6","MB"
"2986","USP00002ZY","5.5","MB"
"2987","USP0000306","6.1","MB"
"2988","USP000030W","6.1","MS"
"2989","USP000030Z","6.1","MS"
"2990","USP0000311","5.9","MS"
"2991","USP0000316","6.3","MS"
"2992","USP000031C","5.5","MS"
"2993","USP000031N","5.7","MB"
"2994","USP000031P","6","MB"
"2995","USP000031R","5.9","MS"
"2996","USP000032A","6.1","MS"
"2997","USP000032P","6","MB"
"2998","USP000032Q","5.7","MB"
"2999","USP0000338","6.4","MS"
"3000","USP000033C","5.5","MS"
"3001","USP000033E","5.8","MS"
"3002","USP000033G","5.6","MB"
"3003","USP0000344","6.1","MS"
"3004","USP000034U","5.6","MB"
"3005","USP000035A","5.7","MB"
"3006","USP000035F","6","MS"
"3007","USP000035R","5.9","MB"
"3008","USP0000363","5.7","MB"
"3009","USP000036A","5.7","MB"
"3010","USP000036N","5.8","MB"
"3011","USP000036S","5.8","MB"
"3012","USP0000375","5.6","MB"
"3013","USP0000385","5.7","MB"
"3014","USP000038K","6.8","MB"
"3015","USP000038S","6.8","MS"
"3016","USP000038X","5.6","MB"
"3017","USP000039E","5.8","MB"
"3018","USP000039K","5.7","MB"
"3019","USP000039M","5.9","MB"
"3020","USP00003B1","5.6","MB"
"3021","USP00003B8","5.8","MS"
"3022","USP00003BN","5.5","MB"
"3023","USP00003BU","5.5","MB"
"3024","USP00003BX","5.6","MB"
"3025","USP00003C8","5.5","MB"
"3026","USP00003C9","5.6","MB"
"3027","USP00003CH","5.5","MB"
"3028","USP00003CR","5.9","MS"
"3029","USP00003D4","6","MB"
"3030","USP00003DF","5.5","MB"
"3031","USP00003DK","5.8","MB"
"3032","USP00003DX","5.8","MB"
"3033","USP00003EQ","5.6","MS"
"3034","USP00003F6","5.5","MB"
"3035","USP00003FK","5.8","MB"
"3036","USP00003FM","6.4","MS"
"3037","USP00003G4","6","MB"
"3038","USP00003G9","6.1","MB"
"3039","USP00003GA","6","MB"
"3040","USP00003GH","5.6","MB"
"3041","USP00003GP","5.9","MS"
"3042","USP00003GQ","5.6","MS"
"3043","USP00003HG","5.7","MB"
"3044","USP00003J0","5.6","MB"
"3045","USP00003J4","5.6","MB"
"3046","USP00003JG","6.3","MS"
"3047","USP00003JT","5.5","MB"
"3048","USP00003K5","5.6","MS"
"3049","USP00003KH","5.5","MB"
"3050","USP00003KR","6.5","MB"
"3051","USP00003KV","5.5","MB"
"3052","USP00003M8","5.9","MB"
"3053","USP00003MT","5.6","MB"
"3054","USP00003N7","5.6","MB"
"3055","USP00003NM","5.5","MB"
"3056","USP00003NR","5.6","MB"
"3057","USP00003PF","6.5","MS"
"3058","USP00003PG","6.7","MS"
"3059","USP00003PM","5.6","MB"
"3060","USP00003QS","7","MS"
"3061","USP00003RY","6.4","MS"
"3062","USP00003SV","6.3","MS"
"3063","USP00003UV","5.5","MB"
"3064","USP00003V6","6","MB"
"3065","USP00003V9","5.8","MB"
"3066","USP00003XH","5.6","MB"
"3067","USP00003XK","6.1","MB"
"3068","USP00003ZA","5.5","MB"
"3069","USP00003ZH","5.7","MB"
"3070","USP000040H","5.7","MB"
"3071","USP000041A","5.9","MB"
"3072","USP000041K","5.5","MB"
"3073","USP000041Q","5.8","MB"
"3074","USP0000421","5.5","MB"
"3075","USP0000422","5.5","MB"
"3076","USP000042A","5.5","MB"
"3077","USP000042D","6.4","MS"
"3078","USP000042J","6.3","MS"
"3079","USP0000431","6.1","MS"
"3080","ISCGEM754290","5.7","MW"
"3081","USP000043J","5.6","MB"
"3082","USP000043N","5.6","MB"
"3083","USP0000444","6","MB"
"3084","USP0000447","5.5","MB"
"3085","USP000044M","5.9","MS"
"3086","USP0000451","5.5","MB"
"3087","USP0000456","5.6","MB"
"3088","USP000045R","5.5","MB"
"3089","USP0000464","5.8","MS"
"3090","USP0000468","5.5","MS"
"3091","USP000046X","5.9","MS"
"3092","USP000046Y","6.1","MB"
"3093","USP0000471","5.7","MB"
"3094","USP000047Y","5.6","MB"
"3095","USP0000499","5.7","MB"
"3096","USP000049D","5.7","MB"
"3097","USP000049M","5.9","MS"
"3098","USP00004AQ","5.9","MB"
"3099","USP00004B3","5.9","MS"
"3100","USP00004BC","5.7","MB"
"3101","USP00004BF","5.7","MS"
"3102","USP00004BJ","5.7","MB"
"3103","USP00004BN","5.8","MB"
"3104","USP00004BQ","5.5","MB"
"3105","USP00004C6","5.6","MB"
"3106","USP00004C8","6","MB"
"3107","USP00004CC","5.5","MB"
"3108","USP00004CF","5.5","MB"
"3109","USP00004CU","5.9","MS"
"3110","USP00004D0","5.9","MS"
"3111","USP00004D1","5.9","MS"
"3112","USP00004DF","5.5","MS"
"3113","USP00004DG","5.6","MB"
"3114","USP00004F8","5.5","MS"
"3115","USP00004FS","5.7","MB"
"3116","USP00004FU","5.5","MB"
"3117","USP00004GA","6.8","MS"
"3118","USP00004GB","6.3","MS"
"3119","USP00004GS","5.5","MB"
"3120","USP00004GW","5.5","MB"
"3121","USP00004HZ","5.8","MB"
"3122","USP00004JB","5.6","MB"
"3123","USP00004JY","5.6","MB"
"3124","USP00004K5","6","MB"
"3125","USP00004K7","5.8","MB"
"3126","USP00004MM","5.5","MB"
"3127","USP00004MS","5.7","MS"
"3128","USP00004MY","5.7","MB"
"3129","USP00004NV","5.6","MB"
"3130","USP00004P7","6.4","MB"
"3131","USP00004P9","7.5","MS"
"3132","USP00004PA","5.6","MB"
"3133","USP00004PB","5.6","MB"
"3134","USP00004PC","5.5","MB"
"3135","USP00004PP","5.6","MB"
"3136","USP00004PQ","5.5","MB"
"3137","USP00004PT","5.6","MB"
"3138","USP00004PY","7.2","MS"
"3139","USP00004Q8","5.8","MB"
"3140","USP00004Q9","5.5","MB"
"3141","USP00004QB","6","MS"
"3142","USP00004R3","6.2","MS"
"3143","USP00004R4","6.6","MS"
"3144","USP00004RD","5.7","MB"
"3145","USP00004SG","6.4","MB"
"3146","USP00004SK","5.7","MB"
"3147","USP00004SU","5.5","MB"
"3148","USP00004T7","5.5","MB"
"3149","USP00004TG","6.3","MB"
"3150","USP00004UD","5.6","MB"
"3151","USP00004UM","5.5","MS"
"3152","USP00004UZ","5.8","MB"
"3153","USP00004VB","6.1","MS"
"3154","USP00004VU","7.2","MS"
"3155","USP00004VX","5.7","MB"
"3156","USP00004WM","6.2","MS"
"3157","USP00004X2","5.5","MB"
"3158","USP00004X8","5.5","MB"
"3159","USP00004XN","5.5","MB"
"3160","USP00004XP","5.6","MB"
"3161","USP00004XS","5.6","MB"
"3162","USP00004XZ","5.7","MS"
"3163","USP00004YG","5.6","MB"
"3164","USP00004YJ","5.7","MB"
"3165","USP00004YR","5.5","MB"
"3166","USP00004Z5","5.6","MB"
"3167","USP0000507","5.7","MB"
"3168","USP0000510","6.1","MS"
"3169","USP000051F","5.9","MB"
"3170","USP000051M","6.1","MS"
"3171","USP000052C","5.5","MB"
"3172","USP000052U","5.7","MB"
"3173","USP0000530","6.3","MS"
"3174","USP0000531","5.6","MB"
"3175","USP0000538","5.6","MB"
"3176","USP000053D","5.6","MB"
"3177","USP000053H","7","MS"
"3178","USP000053R","7.1","MS"
"3179","USP000053Y","5.7","MS"
"3180","USP0000540","5.6","MS"
"3181","USP0000544","5.8","MS"
"3182","USP000054J","5.6","MB"
"3183","USP000054Z","5.6","MB"
"3184","USP0000552","5.8","MS"
"3185","USP0000555","5.5","MS"
"3186","USP0000557","5.6","MS"
"3187","USP000055H","5.9","MB"
"3188","USP000055K","5.6","MS"
"3189","USP000055M","5.7","MB"
"3190","USP000056V","6.5","MS"
"3191","USP000057G","5.8","MB"
"3192","USP0000582","5.8","MS"
"3193","USP0000594","5.5","MB"
"3194","USP000059Q","5.5","MB"
"3195","USP000059W","5.8","MB"
"3196","USP000059Y","5.6","MB"
"3197","USP00005AN","6","MS"
"3198","USP00005AP","6.1","MS"
"3199","USP00005B0","5.6","MB"
"3200","USP00005BF","6.1","MS"
"3201","USP00005BR","5.5","MB"
"3202","USP00005CG","6","MB"
"3203","USP00005DD","5.9","MB"
"3204","USP00005DS","5.6","MB"
"3205","USP00005DU","5.5","MB"
"3206","USP00005ED","5.9","MB"
"3207","USP00005EQ","5.5","MB"
"3208","USP00005ER","6.2","MS"
"3209","USP00005ES","5.7","MB"
"3210","USP00005F2","6.2","MS"
"3211","USP00005FV","5.6","MS"
"3212","USP00005G5","6.1","MS"
"3213","USP00005GK","5.5","MB"
"3214","USP00005H4","5.8","MB"
"3215","USP00005HF","6.3","MS"
"3216","USP00005HZ","5.5","MB"
"3217","USP00005JG","6.5","MS"
"3218","USP00005JH","6.6","MS"
"3219","USP00005JY","5.6","MS"
"3220","USP00005K5","5.5","MS"
"3221","USP00005K6","5.9","MB"
"3222","USP00005KT","5.5","MB"
"3223","USP00005M7","5.6","MB"
"3224","USP00005MH","5.8","MS"
"3225","USP00005NA","5.7","MB"
"3226","USP00005NR","6","MS"
"3227","USP00005PX","5.5","MB"
"3228","USP00005Q7","5.5","MB"
"3229","USP00005Q8","5.6","MB"
"3230","USP00005Q9","6.1","MB"
"3231","USP00005QA","5.6","MB"
"3232","USP00005QJ","6.1","MS"
"3233","USP00005QU","5.9","MB"
"3234","USP00005QY","5.7","MS"
"3235","USP00005RY","5.7","MB"
"3236","USP00005S7","5.6","MB"
"3237","USP00005SX","5.7","MB"
"3238","USP00005TH","5.6","MS"
"3239","USP00005UB","5.7","MS"
"3240","USP00005UQ","5.5","MB"
"3241","USP00005VV","5.7","MB"
"3242","USP00005W2","6","MB"
"3243","USP00005W9","5.5","MB"
"3244","USP00005X8","5.5","MB"
"3245","USP00005Y7","5.5","MB"
"3246","USP00005ZT","5.6","MB"
"3247","USP0000604","5.5","MB"
"3248","USP000060P","5.5","MB"
"3249","USP000060T","5.5","MB"
"3250","USP0000617","5.9","MS"
"3251","USP0000618","5.5","MS"
"3252","USP000061D","5.6","MS"
"3253","USP000061F","5.5","MS"
"3254","USP000061V","5.5","MS"
"3255","USP0000630","5.5","MB"
"3256","USP000063M","5.5","MB"
"3257","USP000063R","5.6","MB"
"3258","USP000063X","5.8","MB"
